Search_uid,Search_query,region,brand,group,Search_result,Search_uid_sales,Sale
030e4e716a58827344d27c88a78feea7,L10460,1,499,6,1,030e4e716a58827344d27c88a78feea7,1.0
030ffee9947dd5672d15ef2d5e84cd5e,75416S,0,144,108,0,0,0.0
03186166549cdc846fe050cb65823a70,LW600,1,499,200,1,0,0.0
031981aa3f8489c7c6dff74aa6856e56,90915-20004,1,301,49,1,031981aa3f8489c7c6dff74aa6856e56,1.0
031a0fa36846d426a021d7934adf293b,313 478,0,86,12,0,031a0fa36846d426a021d7934adf293b,1.0
031cb60ba87343178a4cfec4638431aa,GB-9113,0,581,40,1,0,0.0
031ed6c62ac8e94cbc2476ab97603b0e,3PK540,1,14,14,1,031ed6c62ac8e94cbc2476ab97603b0e,1.0
03202e7cf99b5df3a6de31e0a5bc2bb0,SR2961,0,72,24,0,03202e7cf99b5df3a6de31e0a5bc2bb0,1.0
032090c8aba21089b7b3916f70593dc8,13568-19046,1,301,69,0,0,0.0
0321347a51e2eea39eed00d9be4255ac,RK7548,1,31,51,1,0,0.0
